"uint", "hex", "value"
4186167691, "0xf983d98b", "%02d"
1184781979, "0x469e569b", "%02d:%02d"
1020348580, "0x3cd148a4", "%c%s"
567238124, "0x21cf5dec", "%c_"
4211797897, "0xfb0aef89", "%cx"
545462948, "0x20831aa4", "%d"
3037150726, "0xb5073e06", "%D"
620797490, "0x25009e32", "%s"
3003029692, "0xb2fe98bc", "%s%02d"
548116533, "0x20ab9835", "%s%02d%s"
1766562733, "0x694b9bad", "%s%d"
1825054523, "0x6cc81f3b", "%s%s"
2297525946, "0x88f176ba", "%s(%"
1150034156, "0x448c20ec", "%s)"
3152039152, "0xbbe04cf0", "%s4"
486994140, "0x1d06f0dc", "%s:%s"
1038745244, "0x3de9fe9c", "%s_"
3410881881, "0xcb4ded59", "%s_%02d"
3398403950, "0xca8f876e", "%s_%03d"
343765883, "0x147d737b", "%s_%d"
301922285, "0x11fef7ed", "%s_%s"
2031192609, "0x79118a21", "%s_%s_%s"
3494349488, "0xd0478ab0", "%s_00"
2194767882, "0x82d1800a", "%s_AttackedState"
4092851471, "0xf3f3f50f", "%s_B"
2252991414, "0x8649ebb6", "%s_Barefoot"
2083089445, "0x7c296c25", "%s_DeathCount"
592684297, "0x2353a509", "%s_DispNameFlag"
2580741685, "0x99d2fe35", "%s_Guardian"
2267989966, "0x872ec7ce", "%s_IsDefeat_%s_%u"
3110944862, "0xb96d405e", "%s_Life_Slot"
1926788808, "0x72d876c8", "%s_Necklace_%d_%s_%u"
1414638853, "0x5451ad05", "%s_OreDrop%d_%s_%u"
83471185, "0x04f9ab51", "%s_PartsDrop_%u"
2650574805, "0x9dfc8fd5", "%s_Reward"
932976984, "0x379c1958", "%s_SandBoots"
375998973, "0x166949fd", "%s_Saved"
3878624583, "0xe72f1d47", "%s_Seal"
312666014, "0x12a2e79e", "%s_Slot"
1924747332, "0x72b95044", "%s_SnowBoots"
976976770, "0x3a3b7b82", "%s_TerrorState"
1593499591, "0x5efadfc7", "%s_WeaponDrop_%u"
3214625877, "0xbf9b4c55", "(ByEnemy)"
1250505269, "0x4a893235", "(ByNPC)"
1087585153, "0x40d33b81", "(ByPlayer)"
4078727167, "0xf31c6fff", "(Gyro"
3745846055, "0xdf451327", "(Normal)"
711083383, "0x2a624577", "(Owned)"
3975463111, "0xecf4c0c7", "(Parasail)"
2707540419, "0xa161c9c3", "(Remain)"
2440472959, "0x9176a97f", "(T_Icon_00"
1818877159, "0x6c69dce7", "+:ToolFrontEnd"
38705096, "0x024e97c8", "008"
4184020341, "0xf9631575", "012"
2939794163, "0xaf39b2f3", "014"
3373517230, "0xc913c9ae", "020"
3490248943, "0xd008f8ef", "021"
2910784682, "0xad7f0caa", "024"
3369182105, "0xc8d1a399", "030"
2898093725, "0xacbd669d", "034"
2659910687, "0x9e8b041f", "036"
2575477955, "0x9982acc3", "076"
117539149, "0x0701814d", "078"
3297004664, "0xc4844c78", "080"
356972337, "0x1546f731", "089"
3309708879, "0xc546264f", "090"
4000019852, "0xee6b758c", "093"
2703942475, "0xa12ae34b", "094"
3090272778, "0xb831d20a", "095"
2315759752, "0x8a07b088", "097"
1771176720, "0x69920310", "0_DistanceView"
1915452069, "0x722b7aa5", "100"
2648965469, "0x9de4015d", "100enemy_Activated"
2453143700, "0x92380094", "100enemy_Battle"
2691428453, "0xa06bf065", "100enemy_Clear_Junior"
2932340408, "0xaec7f6b8", "100enemy_Clear_Middle"
1375415267, "0x51fb2be3", "100enemy_Clear_Senior"
3107220697, "0xb9346cd9", "100enemy_ClearDark_1"
2451128090, "0x92193f1a", "100enemy_ClearDark_2"
2332167771, "0x8b020e5b", "100enemy_ClearDark_3"
3292764316, "0xc443989c", "100enemy_ClearDark_4"
3713575389, "0xdd58a9dd", "100enemy_ClearDark_5"
467590416, "0x1bdedd10", "100enemy_ClearScene_1"
821268179, "0x30f38ed3", "100enemy_ClearScene_2"
703119250, "0x29e8bf92", "100enemy_ClearScene_3"
1722362197, "0x66a92955", "100enemy_ClearScene_4"
2142378004, "0x7fb21814", "100enemy_ClearScene_5"
1419725783, "0x549f4bd7", "100enemy_ClearScene_6"
1300527766, "0x4d847a96", "100enemy_ClearScene_7"
3390858841, "0xca1c6659", "100enemy_ClearScene_8"
3540473624, "0xd3075718", "100enemy_ClearScene_9"
4227683875, "0xfbfd5623", "100enemy_CurrentCourse"
537155306, "0x200456ea", "100enemy_CurrentCourse_Junior"
782782519, "0x2ea85037", "100enemy_CurrentCourse_Middle"
3516173676, "0xd1948d6c", "100enemy_CurrentCourse_Senior"
2698198155, "0xa0d33c8b", "100enemy_Finish"
664992390, "0x27a2fa86", "100enemy_IsPlayNow_ActivatedDemo"
1787116508, "0x6a853bdc", "100enemy_KillMasterSwordBaseAttention"
1747731953, "0x682c45f1", "100enemy_Now_Floor_Number"
2579078559, "0x99b99d9f", "100enemy_Sheath_BindUpdateSkip"
561269777, "0x21744c11", "100enemy_SwordPower_StartTmp"
3581170286, "0xd574526e", "100enemy_VanishPreist"
2488257963, "0x944fcdab", "100enemy_VanishShield"
1798327268, "0x6b304be4", "101"
3136483501, "0xbaf2f0ad", "108"
2750005740, "0xa3e9c1ec", "109"
1944653970, "0x73e91092", "110"
1794253267, "0x6af221d3", "111"
1105162768, "0x41df7210", "112"
394646934, "0x1785d596", "114"
