0x5ba2e20e: aabbMax
0x67afdd57: aabbMin
0xd75035f1: ABDIJK
0x10b481ec: ACEMHJ
0xccc533d5: ActorObserverByActorTagTag
0x603cab80: ActorObserverByGroupTag
0x1eb5d0d4: ActorObserverTag
0x750a8d59: ActorOption
0xb8629f43: ActorReaction
0x6f517955: ActorRecreateTag
0xd887f5d3: Actors
0x40ea4868: actorScale
0xc1af331d: AddAutoPlacementCreator
0x3a4e7174: addColorA
0xa34720ce: addColorB
0xd32dd441: addColorG
0xbef030aa: addColorR
0xa60f13bc: AirOcta_Tag
0xe7e94087: AirOctarock
0x417ad35a: AirWall
0x42fda12a: AirWallCreature
0x78c0c137: AirWallCurseGanon
0xe1398916: AirWallForE3
0x551d52c3: AirWallHorse
0x023ff933: AirWallHorse_HiddnKorok
0x5d66e10c: AlarmLynelTag
0x872f3986: Amber
0x9f8af65c: Amiibo
0x78972924: Amiibo2
0xc3ba8df0: AmiiboFirstHero
0x1ae19826: AmiiboMajorasMask
0x2a33cbac: AmiiboOcarinaOfTime
0x0882c259: AmiiboSkywardSword
0x929d7294: AmiiboTwilightPrincess
0xf1ec6f7e: AmiiboWindWaker
0x60fd144b: Anchor
0x07eeea2e: AnchorAction1
0x280a3c04: AnchorAction10
0x614b0edc: AnchorAction1_Rain
0x9ee7bb94: AnchorAction2
0xe7df7c72: AnchorAction2_Rain
0xe9e08b02: AnchorAction3
0x2c83afd7: AnchorAction3_Rain
0x77841ea1: AnchorAction4
0x31869f6f: AnchorAction4_Rain
0x00832e37: AnchorAction5
0xfada4cca: AnchorAction5_Rain
0x998a7f8d: AnchorAction6
0x7c4e3e64: AnchorAction6_Rain
0xee8d4f1b: AnchorAction7
0x7e32528a: AnchorAction8
0x0935621c: AnchorAction9
0xe64bcf1c: AnchorSleep
0xaceb91ab: AnchorWander2_Rain
0xbb5ab420: AnchorWander_Rain
0x3758804a: Ancient
0x1444e8d5: AncientArrow
0x0b4336ef: AncientBall
0x44a1b051: AncientBall_Big
0xb0887f7d: AncientBall_Kakariko
0xad704563: AncientBallBigForGyro
0x41057169: AncientBallBigForPutter
0xb279522d: AncientBallForGyro
0x7bda2b5f: AncientBallNewBig
0x24c2b26d: AncientBallSwitch
0x29f2615a: AncientBallSwitch2
0x56d73c9e: AncientBallSwitchinRemains
0x55e32aed: Animal_Bass
0x33fb4f4b: Animal_Bass_L
0x5d19c274: Animal_Bear
0x43186015: Animal_Bear_A
0xda1131af: Animal_Bear_B
0xd85b53c4: Animal_Bear_GrabbedModel
0x79dec2b7: Animal_Bee
0x009f0a11: Animal_Beetle
0x7ecc63ef: Animal_Beetle_Gold
0x508e47a2: Animal_Boar
0x09a878b4: Animal_Boar_A
0x90a1290e: Animal_Boar_B
0xe7a61998: Animal_Boar_C
0x0e9e222a: Animal_Bull
0xc72aa130: Animal_Bull_A
0xa9fd87ad: Animal_Butterfly
0x6d4d2d73: Animal_Carp
0x32b563c0: Animal_Cassowary
0x6260f77b: Animal_Cassowary_A
0x714a3142: Animal_Cow
0xeeb07e95: Animal_Cow_A
0xe17b0080: Animal_Crab
0xb913e79f: Animal_Crab_Silver
0x1225c9e5: Animal_Crow
0xbc904dfa: Animal_Crow_A
0x5ad2ca1c: Animal_Crow_GlideModel
0x889cb9b0: Animal_Crow_Swarm
0x0dd31cee: Animal_Crow_Swarm_HeapMeasure
0x1c1e58ac: Animal_Deer
0x1a23145f: Animal_Deer_A
0xf42d7573: Animal_Deer_C
0x4332d59b: Animal_Doe_A
0x69b237a3: Animal_Dog
0x40b601f5: Animal_Dog_A
0xd9bf504f: Animal_Dog_B
0xaeb860d9: Animal_Dog_C
0x99ce75e7: Animal_Donkey
0xd5780a8e: Animal_Donkey_B
0xa27f3a18: Animal_Donkey_C
0x30f9c4e4: Animal_Dragonfly
0x3209f49a: Animal_Duck
0xd1957b6b: Animal_Egret
0x66797ecf: Animal_Elk_A
0xd81feadd: Animal_Fairy
0x21acbd10: Animal_FemaleDeer
0xf4d63872: Animal_Firefly
0xf6d876b0: Animal_Fish_A
0x6fd1270a: Animal_Fish_B
0x18d6179c: Animal_Fish_C
0x86b2823f: Animal_Fish_D
0xf1b5b2a9: Animal_Fish_E
0x68bce313: Animal_Fish_F
0x1fbbd385: Animal_Fish_G
0x8f04ce14: Animal_Fish_H
0xf803fe82: Animal_Fish_I
0x610aaf38: Animal_Fish_J
0x160d9fae: Animal_Fish_K
0x88690a0d: Animal_Fish_L
0xff6e3a9b: Animal_Fish_M
0x92b3de70: Animal_Fish_X
0x7cbdbf5c: Animal_Fish_Z
0xe73eee38: Animal_Fox
0x2d0cb6d8: Animal_Fox_A
0xb405e762: Animal_Fox_B
0x384c29b3: Animal_Frog
0xcf175aaa: Animal_Frog_Demo
0x8e3312a5: Animal_Goat
0x5de895b5: Animal_Goat_A
0xc4e1c40f: Animal_Goat_B
0x96d07a23: Animal_Goat_Cattle
0x4e79601b: Animal_Grasshopper
0x3940d218: Animal_Gull
0x97e73083: Animal_Gull_A
0x0e40bbd4: Animal_Gull_Swarm
0x2e89e45a: Animal_Gull_Swarm_HeapMeasure
0x4d5e97db: Animal_Hawk
0x7186750f: Animal_Hawk_A
0x6eecef26: Animal_Heron_A
0xf7e5be9c: Animal_Heron_B
0xd9edcb86: Animal_Horse_A
0x711f81ae: Animal_Horse_Nushi
0x5cc826fa: Animal_Insect_A
0x8eed4daf: Animal_Insect_AA
0x17e41c15: Animal_Insect_AB
0xc5c17740: Animal_Insect_B
0xb49b66f1: Animal_Insect_Beetle
0xce3ab70b: Animal_Insect_Butterfly
0xb2c647d6: Animal_Insect_C
0x3355c8c9: Animal_Insect_Crab
0x6f73b2a2: Animal_Insect_DragonFly
0x5ba5e2e3: Animal_Insect_E
0x8031a859: Animal_Insect_EP
0xc2acb359: Animal_Insect_F
0xd7cd3d21: Animal_Insect_Fairy
0x6c259886: Animal_Insect_FireFly
0xb5ab83cf: Animal_Insect_G
0x90fd2c1f: Animal_Insect_Grasshopper
0x25149e5e: Animal_Insect_H
0x5213aec8: Animal_Insect_I
0xbc1dcfe4: Animal_Insect_K
